Title	Description	Link	pubDate	Image
Barnier to resign as French PM after government collapse	Barnier is likely to stay on as caretaker prime minister while Macron chooses a successor, a process which could take weeks.	https://www.bbc.com/news/articles/cwyd5j0dwkno	2024-12-04T23:52:47-08:00	
Behind the scenes of the Baltimore bridge collapse	A new BBC documentary reveals new details of the probe into the Dali's collision with the Key Bridge.	https://www.bbc.com/news/articles/c1wjvy1gje7o	2024-12-04T22:04:03-08:00	
Bitcoin surges past $100k for first time	Its record price is making headlines - but that's just one part of the cryptocurrency's tumultuous story.	https://www.bbc.com/news/articles/cqj0wkwv1x2o	2024-12-04T19:20:29-08:00	
Why voters are giving Africa's governing parties a bloody nose	Namibia's Swapo records its worst election performance - continuing a trend seen across Africa.	https://www.bbc.com/news/articles/c708w7n62pno	2024-12-04T18:45:13-08:00	
India's 'blockbuster' drugs to take on antibiotics-resistant superbugs	A number of promising new drugs from India can potentially save hundreds of thousands of lives.	https://www.bbc.com/news/articles/c80vrjkkrero	2024-12-04T18:24:35-08:00	
What we know about the shooter in CEO Brian Thompson's killing	Police are using facial recognition software to try to determine the identity of the gunman.	https://www.bbc.com/news/articles/c7ve36zg0e5o	2024-12-04T18:13:47-08:00	
Barnier downfall threatens to set a pattern for what lies ahead	Paris correspondent Hugh Schofield asks if the next French prime minister will face the same fate as Michel Barnier.	https://www.bbc.com/news/articles/czjd79yrlplo	2024-12-04T17:41:56-08:00	
Selling sex for gold in the Amazon's illegal mines	Life for women among the Amazon’s illegal gold miners is harsh, violent, and can be deadly.	https://www.bbc.com/news/articles/c86wl5ex6gzo	2024-12-04T17:28:46-08:00	
Why Swedish women are quitting work	Sweden has a reputation for strong gender equality, but some young women are giving up their jobs.	https://www.bbc.com/news/articles/c0j1wwypygxo	2024-12-04T16:37:32-08:00	
Romania hit by major election influence campaign, amid Russian cyber-attacks	Romania's intelligence service reveals details of what it says is an attempt from abroad to meddle in the country's presidential election.	https://www.bbc.com/news/articles/cgq18w507dko	2024-12-04T14:33:15-08:00	
French government collapses in no-confidence vote	Michel Barnier's ousting over a budget bill deepens France's current political crisis.	https://www.bbc.com/news/articles/cdxz934p56qo	2024-12-04T13:35:16-08:00	
Multiple victims reported in Vancouver stabbing	The condition of the victims and the suspect, who was shot by police, remains unclear.	https://www.bbc.com/news/articles/cq624628gj5o	2024-12-04T13:28:42-08:00	
Israel says body of hostage Itay Svirsky recovered from Gaza	The military says he was murdered by Hamas, which has claimed he was killed by an Israeli strike.	https://www.bbc.com/news/articles/cdjgevlv839o	2024-12-04T11:53:18-08:00	
From freedom fighter to Namibia's first female president	Netumbo Nandi-Ndaitwah has experienced exile, detention and a quarter of a century in top government posts.	https://www.bbc.com/news/articles/cjr23pp3nv9o	2024-12-04T10:30:36-08:00	
Georgian opposition leader dragged from party offices by police	The prime minister had earlier vowed that the organisers of a week of pro-EU protests would face justice.	https://www.bbc.com/news/articles/clyj2e57r70o	2024-12-04T10:00:50-08:00	
Guinness supplies being limited after demand soars	Guinness-maker Diageo has placed limits on wholesale distribution of the stout to pubs in Great Britain after 'exceptional demand'	https://www.bbc.com/news/articles/cx2v5z0wvwzo	2024-12-04T09:22:49-08:00	
Unknown flu-like disease kills at least 79 people in DR Congo	Authorities say those infected have symptoms including headaches, fever and a runny nose.	https://www.bbc.com/news/articles/c5y83ejz7eeo	2024-12-04T09:20:42-08:00	
Why France's turmoil is grave concern for Europe	There's no end in sight to the political instability as French PM Barnier faces a no-confidence vote.	https://www.bbc.com/news/articles/c0q0zvvjj19o	2024-12-04T08:52:40-08:00	
World's oldest known wild bird lays egg at 74	Laysan albatross Wisdom was spotted with her new partner and egg at a Pacific Ocean refuge.	https://www.bbc.com/news/articles/c86w9n4jlvwo	2024-12-04T08:26:23-08:00	
Russian criminals helped UK drug gangs launder lockdown cash	UK drug gangs paid Russian criminals to swap their dirty street cash for untraceable crypto currency, police say.	https://www.bbc.com/news/articles/c70ezyrep1go	2024-12-04T07:33:10-08:00	
Moment of big opportunity and high risk for Marine Le Pen	The no-confidence vote against the French prime minister is a high-stakes gamble for far-right leader Marine Le Pen.	https://www.bbc.com/news/articles/c86w9n705z8o	2024-12-04T07:23:21-08:00	
Trump's defence nominee hits out after reports he could be dropped	US media suggest the president-elect could replace Pete Hegseth, whose selection is under intense scrutiny.	https://www.bbc.com/news/articles/cr564zd43l9o	2024-12-04T05:51:11-08:00	
Syrian government forces and rebels battle outside key city of Hama	A government counter-attack reportedly pushed back the rebels after they reached Hama's outskirts.	https://www.bbc.com/news/articles/czeng98w7r5o	2024-12-04T05:29:08-08:00	
South Korea opposition files motion to impeach Yoon	The country faces an uncertain future after its leader Yoon Suk Yeol suddenly declared and then reversed martial law.	https://www.bbc.com/news/articles/c8rjd064012o	2024-12-04T05:13:10-08:00	
Why French PM Barnier is set to lose no-confidence vote - and what happens next?	Barnier, who has headed the French government since September, may be ousted - but what could happen next?	https://www.bbc.com/news/articles/c5y7j07gzq8o	2024-12-04T04:54:57-08:00	
We had to stop this': The woman who grabbed gun of South Korean soldier	Ahn Gwi-ryeong faced off with armed soldiers who were sent to stop lawmakers from entering parliament in Seoul.	https://www.bbc.com/news/articles/ckg1m423vvmo	2024-12-04T04:52:34-08:00	
